timestamps,TP9,AF7,AF8,TP10,Marker0
1579708175.308,34.180,67.871,19.531,13.184,0
1579708175.312,45.898,70.312,12.695,4.395,0
1579708175.316,57.617,73.242,8.301,7.812,0
1579708175.320,55.664,68.848,5.859,20.996,0
1579708175.324,40.527,58.105,14.160,23.438,0
1579708175.328,43.457,61.035,15.137,19.043,0
1579708175.332,43.457,66.406,8.301,22.461,0
1579708175.335,46.387,60.547,14.648,35.645,0
1579708175.339,46.387,60.059,21.484,23.926,0
1579708175.343,46.875,64.941,15.625,24.414,0
1579708175.347,41.992,55.664,19.043,25.391,0
1579708175.351,39.062,51.270,24.902,23.438,0
1579708175.353,49.805,55.176,21.484,29.785,0
1579708175.357,54.688,60.547,20.508,22.949,0
1579708175.361,49.805,62.500,20.508,25.391,0
1579708175.365,47.852,61.523,17.090,20.508,0
1579708175.369,45.898,62.988,20.020,7.812,0
1579708175.373,33.691,60.059,24.902,23.438,0
1579708175.377,24.414,55.664,25.391,24.414,0
1579708175.380,35.645,54.688,22.461,6.348,0
1579708175.384,51.758,60.059,18.555,2.930,0
1579708175.388,35.156,58.594,22.949,16.113,0
1579708175.392,28.320,53.711,23.926,14.160,0
1579708175.396,40.039,54.199,20.508,13.672,0
1579708175.413,42.969,51.270,19.531,11.230,0
1579708175.417,34.668,50.293,17.090,1.953,0
1579708175.421,53.711,51.270,19.531,13.672,0
1579708175.425,57.617,54.199,26.367,34.668,0
1579708175.429,31.250,58.105,20.508,26.855,0
1579708175.433,35.645,56.152,16.602,5.371,0
1579708175.437,43.945,56.641,20.508,15.625,0
1579708175.440,50.293,57.617,23.926,20.996,0
1579708175.444,44.434,54.688,29.785,19.531,0
1579708175.448,36.621,52.246,22.949,7.812,0
1579708175.452,43.457,56.152,14.160,-0.977,0
1579708175.456,52.246,60.059,18.066,5.859,0
1579708175.458,59.082,58.594,20.020,14.648,0
1579708175.462,39.062,52.734,22.949,21.973,0
1579708175.466,36.621,57.617,25.879,21.973,0
1579708175.470,46.875,66.406,24.902,18.555,0
1579708175.474,38.574,60.547,25.391,20.020,0
1579708175.478,32.715,53.223,21.484,18.066,0
1579708175.482,34.180,53.711,19.043,8.789,0
1579708175.485,29.785,59.082,21.484,12.207,0
1579708175.489,24.414,61.523,20.996,17.090,0
1579708175.493,39.062,60.059,14.648,12.695,0
1579708175.497,47.363,63.477,14.160,7.324,0
1579708175.501,39.062,62.012,21.973,16.602,0
1579708175.503,31.738,60.059,23.926,14.160,0
1579708175.507,25.391,59.570,24.414,4.883,0
1579708175.511,26.855,58.105,27.832,5.371,0
1579708175.515,31.738,62.500,24.414,6.836,0
1579708175.519,33.203,63.965,20.996,10.742,0
1579708175.523,45.410,58.594,21.484,14.160,0
1579708175.527,40.527,56.641,21.484,16.113,0
1579708175.530,28.320,54.688,26.367,6.836,0
1579708175.534,44.922,55.176,29.297,19.531,0
1579708175.538,63.965,62.500,22.949,14.160,0
1579708175.542,61.523,66.406,20.996,-2.441,0
1579708175.546,66.406,62.012,25.391,10.254,0
1579708175.548,58.105,59.570,28.320,15.625,0
1579708175.552,33.691,62.012,29.297,16.602,0
1579708175.556,24.414,60.059,29.785,31.738,0
