timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1556031599.643,243.164,99.609,105.957,37.598,72.754,0
1556031599.647,117.188,224.121,223.145,43.457,87.402,0
1556031599.651,-139.160,41.016,58.105,57.617,75.684,0
1556031599.655,-60.547,-73.730,-47.363,51.270,84.961,0
1556031599.659,233.398,49.805,62.988,48.340,77.637,0
1556031599.663,206.055,12.207,32.227,54.199,45.898,0
1556031599.667,-83.008,-150.879,-115.723,64.453,63.965,0
1556031599.670,-97.168,-288.086,-229.980,63.477,86.426,0
1556031599.674,198.242,-306.152,-247.070,62.012,66.895,0
1556031599.678,298.340,98.145,103.027,73.730,88.379,0
1556031599.682,19.531,220.215,235.352,78.125,138.672,0
1556031599.686,-140.137,-10.742,37.109,82.520,133.789,0
1556031599.688,105.957,-23.438,9.766,62.500,86.914,0
1556031599.692,284.180,209.961,225.098,70.801,98.633,0
1556031599.696,84.961,157.715,196.289,88.867,102.051,0
1556031599.700,-148.926,-104.004,-39.062,82.520,92.773,0
1556031599.704,5.371,-61.523,-13.672,68.359,95.703,0
1556031599.708,264.648,39.062,80.566,68.359,93.750,0
1556031599.712,166.016,-27.832,27.832,69.824,92.773,0
1556031599.715,-109.375,-321.289,-223.633,92.773,106.934,0
1556031599.719,-60.059,-291.992,-214.844,81.055,118.652,0
1556031599.723,223.633,193.848,208.008,76.660,142.578,0
1556031599.727,232.910,251.465,291.016,75.684,156.738,0
1556031599.731,-46.387,-17.090,57.129,71.289,144.531,0
1556031599.733,-109.863,16.113,78.125,92.285,170.898,0
1556031599.737,169.434,152.344,195.801,85.938,146.484,0
1556031599.741,289.062,190.430,241.699,99.121,153.320,0
1556031599.745,37.109,98.633,171.875,108.887,180.664,0
1556031599.749,-136.719,8.301,83.008,106.445,181.152,0
1556031599.753,88.867,0.977,72.754,105.957,175.293,0
1556031599.757,308.594,-63.477,30.273,110.840,157.715,0
1556031599.760,133.301,-208.008,-99.609,107.910,141.602,0
1556031599.764,-115.723,-132.812,-57.617,102.051,154.785,0
1556031599.768,20.996,7.812,64.453,85.449,167.480,0
1556031599.772,276.367,69.336,124.512,65.918,145.020,0
1556031599.776,212.891,54.199,114.746,62.988,116.699,0
1556031599.778,-67.383,-90.820,-12.695,71.777,127.930,0
1556031599.782,-50.293,-92.773,-4.883,67.383,166.992,0
1556031599.786,258.789,-3.418,81.055,75.684,145.020,0
1556031599.790,267.578,53.711,129.395,66.895,116.211,0
1556031599.794,-58.105,26.855,109.863,39.551,131.348,0
1556031599.798,-154.297,-191.406,-81.055,44.434,133.789,0
1556031599.802,112.793,-413.574,-278.320,18.555,101.074,0
1556031599.805,245.605,-190.918,-94.238,-0.977,111.328,0
1556031599.809,6.348,113.770,176.270,19.531,150.391,0
1556031599.813,-192.871,-153.809,-55.664,28.809,111.328,0
1556031599.817,-1.953,-197.754,-104.980,2.441,100.586,0
1556031599.821,217.285,100.098,159.668,-10.742,127.930,0
1556031599.838,52.734,116.699,179.688,-6.348,119.629,0
1556031599.842,-206.055,-177.734,-80.566,0.977,98.145,0
1556031599.846,-86.426,-262.207,-167.969,-37.598,78.613,0
1556031599.850,190.430,3.906,65.430,-51.758,83.496,0
1556031599.854,150.391,105.957,170.898,-37.598,85.938,0
1556031599.858,-143.555,-266.602,-141.113,-31.250,75.195,0
1556031599.862,-156.738,-555.176,-398.438,-22.461,60.059,0
1556031599.865,140.625,-229.980,-131.348,-30.762,47.852,0
1556031599.869,207.520,46.875,114.258,-29.297,41.992,0
1556031599.873,-65.430,-251.465,-146.973,-26.855,11.719,0
1556031599.877,-180.664,-427.734,-315.918,-24.902,11.230,0
1556031599.881,79.590,-99.609,-33.691,-33.691,38.574,0
1556031599.883,207.031,76.172,136.230,-39.062,37.109,0
1556031599.887,-31.250,-70.312,16.602,-34.180,23.926,0
1556031599.891,-221.680,-265.137,-168.457,-58.594,10.254,0
1556031599.895,-44.922,-173.340,-102.539,-104.004,5.859,0
1556031599.899,176.270,-5.859,52.246,-100.586,-4.395,0
1556031599.903,44.434,-167.969,-78.125,-88.867,-21.484,0
1556031599.907,-222.656,-388.672,-288.574,-88.867,-25.879,0
1556031599.910,-137.207,-271.973,-206.055,-109.863,-21.484,0
1556031599.914,143.066,-126.953,-63.965,-117.188,-25.879,0
1556031599.918,109.863,-436.035,-322.266,-103.516,-78.613,0
1556031599.922,-180.176,-512.695,-411.133,-104.004,-71.777,0
1556031599.926,-187.500,-230.469,-176.758,-90.820,-39.062,0
1556031599.928,114.258,-202.637,-143.555,-95.703,-68.359,0
1556031599.932,179.688,-136.719,-84.473,-115.723,-75.684,0
1556031599.936,-86.426,-110.352,-64.941,-87.891,-53.711,0
1556031599.940,-204.102,-236.816,-182.129,-64.941,-54.199,0
1556031599.944,46.387,-231.934,-174.316,-72.266,-56.152,0
1556031599.948,226.562,-175.781,-107.422,-82.031,-44.922,0
1556031599.952,21.484,-278.320,-203.613,-85.938,-59.082,0
1556031599.955,-212.891,-363.281,-305.176,-65.918,-84.473,0
1556031599.959,-53.711,-433.105,-359.375,-65.918,-77.637,0
1556031599.963,207.520,-399.414,-317.383,-62.500,-62.012,0
1556031599.967,107.422,-179.199,-142.578,-70.801,-77.148,0
1556031599.971,-167.480,-309.082,-254.395,-73.730,-67.383,0
1556031599.973,-114.746,-371.094,-307.617,-53.711,-49.316,0
1556031599.977,175.781,-135.742,-102.051,-54.688,-54.199,0
1556031599.981,205.566,-37.598,-12.695,-48.828,-71.777,0
1556031599.985,-84.961,-233.887,-185.059,-38.086,-78.613,0
1556031599.989,-170.410,-416.016,-352.051,-51.758,-74.219,0
1556031599.993,102.051,-360.352,-311.523,-50.293,-82.520,0
1556031599.997,215.332,-208.984,-165.527,-34.668,-57.129,0
1556031600.000,-38.574,-265.625,-200.684,-24.414,-36.133,0
1556031600.004,-204.590,-616.211,-510.254,-18.555,-45.898,0
1556031600.008,28.809,-483.398,-424.805,-39.062,-57.617,0
1556031600.012,227.539,-10.254,-13.184,-36.133,-45.410,0
1556031600.016,60.059,-95.215,-62.988,-21.973,-39.062,0
1556031600.018,-151.855,-344.238,-294.922,-3.906,-46.387,0
1556031600.022,-14.160,-226.074,-208.496,4.883,-25.391,0
1556031600.026,212.402,-62.012,-51.758,-20.996,-7.324,0
1556031600.030,117.676,-106.445,-85.938,-59.570,-14.160,0
1556031600.034,-131.348,-253.418,-222.168,-54.688,-19.531,0
1556031600.038,-108.398,-409.180,-367.188,-36.621,-34.180,0
1556031600.042,170.898,-230.469,-217.773,-39.551,-23.926,0
1556031600.045,208.984,-156.738,-125.000,-35.645,-9.766,0
1556031600.049,-71.289,-489.258,-416.992,-8.789,-38.574,0
1556031600.053,-141.602,-351.074,-326.172,-8.789,-17.090,0
1556031600.057,145.020,-51.758,-54.688,-20.996,14.160,0
1556031600.061,270.996,19.531,26.367,-25.391,22.949,0
1556031600.063,11.230,-127.930,-108.398,-28.320,-5.859,0
1556031600.067,-200.684,-239.746,-218.262,-5.859,-7.812,0
1556031600.071,8.301,-170.410,-156.250,-3.418,15.625,0
1556031600.075,226.074,-96.191,-83.008,-18.555,12.695,0
1556031600.079,55.664,-167.480,-151.855,-29.297,-4.883,0
1556031600.083,-182.129,-373.047,-340.332,-7.324,4.883,0
1556031600.087,-58.594,-452.637,-420.410,-3.418,8.301,0
1556031600.090,217.285,-515.625,-478.516,-14.648,-23.926,0
1556031600.094,178.711,-397.461,-383.789,-20.996,-27.344,0
1556031600.098,-94.238,-188.965,-199.219,-15.625,21.973,0
1556031600.102,-92.773,-355.469,-341.797,3.418,1.465,0
1556031600.106,192.383,-299.316,-295.898,2.930,-17.578,0
1556031600.108,266.602,-66.895,-86.426,9.766,7.812,0
1556031600.112,5.371,-174.316,-183.594,23.438,0.000,0
1556031600.116,-113.770,-385.254,-369.141,14.160,10.742,0
1556031600.120,136.719,-328.125,-327.637,15.625,3.906,0
1556031600.124,303.223,-74.219,-96.680,18.066,11.230,0
1556031600.128,80.566,-221.680,-220.215,-7.324,7.812,0
1556031600.132,-144.043,-617.188,-572.266,-4.395,-11.719,0
1556031600.135,45.410,-681.152,-634.277,-10.742,-27.832,0
1556031600.139,284.180,-274.902,-283.691,-6.348,-2.930,0
1556031600.143,146.484,-55.176,-66.895,0.977,30.273,0
1556031600.147,-113.770,-265.625,-244.629,7.324,23.438,0
1556031600.151,-30.273,-298.828,-282.715,-2.441,30.273,0
1556031600.153,232.910,-28.809,-36.621,-18.066,52.246,0
1556031600.157,212.891,10.742,9.277,-7.324,34.180,0
1556031600.161,-53.711,-260.742,-236.816,7.812,7.812,0
1556031600.165,-77.148,-352.539,-336.914,-0.977,11.230,0
1556031600.169,202.637,-171.875,-182.617,-27.832,-1.465,0
1556031600.173,270.508,-120.117,-113.281,-41.504,14.160,0
1556031600.177,0.488,-501.465,-439.453,-17.090,12.207,0
1556031600.180,-131.836,-555.176,-507.324,8.789,22.461,0
1556031600.184,106.934,-173.828,-187.012,-5.371,21.484,0
1556031600.188,286.133,-39.551,-46.875,-2.930,17.578,0
1556031600.192,81.543,-160.156,-130.859,-0.977,36.621,0
1556031600.196,-144.043,-283.203,-249.023,9.277,44.434,0
1556031600.198,35.156,-218.262,-204.590,0.977,31.250,0
1556031600.202,287.598,-186.523,-173.340,-10.254,-6.348,0
1556031600.206,187.500,-166.016,-152.344,1.465,-5.371,0
1556031600.210,-78.125,-207.520,-191.895,20.508,18.066,0
1556031600.214,-50.781,-213.867,-205.566,16.602,14.160,0
1556031600.218,197.266,-290.527,-258.789,2.441,-0.488,0
1556031600.222,202.637,-367.676,-317.871,-2.441,10.254,0
1556031600.225,-63.477,-226.074,-210.449,10.254,23.926,0
1556031600.229,-118.652,-190.918,-183.594,12.207,28.320,0
1556031600.233,147.949,-158.691,-153.320,-15.625,17.090,0
1556031600.237,259.277,-92.285,-96.680,-19.531,-9.277,0
1556031600.241,14.160,-101.074,-105.957,-5.371,4.883,0
1556031600.258,-147.949,-221.680,-217.285,2.441,23.438,0
1556031600.262,76.660,-223.633,-216.797,-20.508,25.879,0
1556031600.266,270.020,-173.828,-166.016,-14.648,9.766,0
1556031600.270,95.703,-173.340,-177.246,-8.789,-10.742,0
1556031600.274,-125.000,-217.285,-211.914,7.812,18.066,0
1556031600.278,14.160,-357.910,-328.125,7.324,17.090,0
1556031600.282,261.719,-225.098,-224.609,-21.484,-2.441,0
1556031600.285,174.805,4.395,-22.949,-19.043,21.484,0
1556031600.289,-104.492,-162.598,-161.133,-5.859,36.133,0
1556031600.293,-72.754,-559.082,-530.273,-2.930,-25.391,0
1556031600.297,203.613,-353.027,-370.605,-3.906,-29.297,0
1556031600.301,213.379,8.301,-36.621,-18.555,15.137,0
1556031600.303,-57.617,-232.422,-242.676,-21.484,0.000,0
1556031600.307,-135.254,-419.922,-424.805,-18.555,-11.719,0
1556031600.311,125.977,-205.566,-248.047,-27.832,-5.859,0
1556031600.315,260.742,-37.598,-88.379,-25.879,-5.859,0
1556031600.319,37.109,-200.684,-222.168,-21.973,-5.371,0
1556031600.323,-153.809,-474.609,-468.262,-14.160,5.371,0
1556031600.327,52.734,-396.973,-413.574,-18.555,9.277,0
1556031600.330,276.855,-100.586,-158.203,-23.438,-15.625,0
1556031600.334,88.379,-262.207,-277.832,-20.020,-28.320,0
1556031600.338,-176.270,-595.703,-567.871,-10.254,-18.555,0
1556031600.342,-50.293,-324.219,-353.027,-39.062,2.930,0
1556031600.346,225.098,2.930,-48.340,-48.340,23.926,0
1556031600.348,170.898,50.293,23.926,-40.039,53.223,0
1556031600.352,-105.957,-84.473,-95.703,-40.039,59.570,0
1556031600.356,-96.191,-151.855,-171.387,-41.992,36.133,0
1556031600.360,172.852,-113.770,-145.996,-41.504,-10.742,0
1556031600.364,222.168,-63.477,-88.379,-37.109,-3.418,0
1556031600.368,-34.668,-199.707,-195.312,-16.113,24.414,0
1556031600.372,-136.230,-378.418,-359.863,-1.465,24.414,0
1556031600.375,114.258,-221.680,-229.004,-21.973,17.578,0
1556031600.379,248.535,-300.293,-284.668,-25.879,-14.648,0
1556031600.383,31.738,-384.766,-376.953,-16.113,-34.180,0
1556031600.387,-148.438,-224.609,-246.582,0.000,-8.789,0
1556031600.391,37.109,-198.242,-205.078,-4.395,15.625,0
1556031600.393,277.832,-66.406,-76.172,-13.672,25.879,0
1556031600.397,152.832,-56.152,-73.242,1.465,-6.836,0
1556031600.401,-114.258,-207.031,-212.891,10.742,-7.812,0
1556031600.405,-47.363,-253.906,-249.512,-2.930,27.832,0
1556031600.409,227.539,-125.000,-130.859,7.324,21.484,0
1556031600.413,209.961,-132.812,-127.441,2.441,10.254,0
1556031600.417,-72.754,-291.992,-267.578,1.953,35.156,0
1556031600.420,-94.727,-457.031,-417.969,15.137,34.180,0
1556031600.424,174.805,-459.961,-429.199,4.395,2.441,0
1556031600.428,250.488,-59.082,-85.449,2.930,14.648,0
1556031600.432,13.184,-94.238,-96.680,23.926,30.762,0
1556031600.436,-130.859,-352.539,-324.707,22.461,25.879,0
1556031600.438,93.750,-190.918,-197.754,-10.254,18.555,0
1556031600.442,283.691,55.664,26.367,-1.465,29.297,0
1556031600.446,106.934,-24.902,-35.156,17.090,24.414,0
1556031600.450,-140.625,-330.078,-312.988,16.113,-6.348,0
1556031600.454,-1.953,-257.324,-254.395,11.230,12.695,0
1556031600.458,253.906,-113.770,-115.234,0.488,32.227,0
1556031600.462,142.090,-141.602,-132.812,0.977,27.832,0
1556031600.465,-117.676,-522.949,-468.262,18.066,-8.301,0
1556031600.469,-42.969,-570.312,-536.133,16.602,-11.230,0
1556031600.473,237.793,-59.570,-87.891,26.855,26.367,0
1556031600.477,237.305,-12.207,-15.625,28.320,29.297,0
1556031600.481,-36.133,-226.074,-207.031,22.461,24.414,0
1556031600.483,-83.008,-233.398,-231.445,45.898,28.809,0
1556031600.487,184.082,-123.047,-125.488,41.992,33.203,0
1556031600.491,279.297,-131.348,-115.234,17.578,37.109,0
1556031600.495,20.996,-196.777,-182.617,3.418,28.809,0
1556031600.499,-146.484,-233.887,-221.680,8.789,32.227,0
1556031600.503,93.750,-247.559,-233.398,17.090,30.762,0
1556031600.507,296.387,-304.199,-266.602,21.973,15.625,0
1556031600.510,97.168,-427.734,-374.512,22.461,6.836,0
1556031600.514,-144.043,-290.527,-275.879,35.645,47.852,0
1556031600.518,0.000,-121.582,-125.488,36.133,67.383,0
1556031600.522,249.023,-119.629,-128.418,32.227,26.855,0
1556031600.526,161.133,-76.660,-92.773,25.879,41.016,0
1556031600.528,-96.680,-120.605,-130.371,44.434,65.918,0
1556031600.532,-66.406,-224.609,-230.957,39.062,53.223,0
1556031600.536,208.496,-148.926,-166.992,12.695,57.129,0
1556031600.540,234.863,-19.043,-48.828,22.461,66.406,0
1556031600.544,-49.316,-126.953,-134.277,33.691,78.613,0
1556031600.548,-113.770,-361.328,-337.891,34.668,78.613,0
1556031600.552,156.250,-508.789,-475.586,28.320,54.199,0
1556031600.555,258.301,-347.168,-351.074,38.574,34.668,0
1556031600.559,9.277,-131.836,-166.992,30.762,41.504,0
1556031600.563,-158.691,-313.477,-316.406,29.785,47.363,0
1556031600.567,61.523,-284.668,-294.922,21.973,57.617,0
1556031600.571,275.879,-10.254,-52.734,8.301,74.707,0
1556031600.587,103.027,13.672,-26.855,11.719,77.148,0
1556031600.591,-149.902,-261.230,-271.973,24.902,68.359,0
1556031600.595,-21.973,-347.656,-360.352,18.555,53.223,0
1556031600.599,250.000,-121.094,-169.922,2.441,40.527,0
1556031600.603,194.824,-35.645,-87.891,-1.465,38.086,0
1556031600.607,-76.660,-390.625,-376.953,13.672,47.852,0
1556031600.611,-86.426,-527.344,-496.094,5.859,66.406,0
1556031600.614,186.035,-195.312,-212.402,-21.484,67.383,0
1556031600.618,244.629,-120.117,-131.836,-23.926,34.668,0
1556031600.622,-13.184,-412.109,-399.414,-6.348,-22.461,0
1556031600.626,-109.863,-564.453,-548.828,0.488,-31.738,0
1556031600.630,126.465,-210.938,-234.863,-19.043,12.695,0
1556031600.633,251.465,-48.828,-59.570,-21.484,38.086,0
1556031600.637,45.410,-234.863,-218.262,-13.184,22.949,0
1556031600.641,-137.695,-293.457,-282.227,-1.465,36.621,0
1556031600.645,23.438,-224.121,-229.980,-18.066,16.113,0
1556031600.649,233.887,-71.289,-85.449,-22.461,17.090,0
1556031600.653,112.305,-169.434,-152.344,-16.602,30.762,0
