timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1581620845.447,26.366999999999997,101.56200000000001,32.715,121.094,0.0,0
1581620845.451,24.901999999999997,94.238,33.691,152.344,0.0,0
1581620845.455,51.758,93.262,28.809,139.648,0.0,0
1581620845.4589999,84.473,105.95700000000001,27.344,118.652,0.0,0
1581620845.4629998,90.33200000000001,106.934,31.738000000000003,136.719,0.0,0
1581620845.467,77.637,91.309,35.645,180.176,0.0,0
1581620845.471,87.891,90.82,32.715,184.082,0.0,0
1581620845.474,109.375,122.07,31.25,152.832,0.0,0
1581620845.478,111.816,116.699,31.738000000000003,157.227,0.0,0
1581620845.482,87.891,89.844,35.645,202.148,0.0,0
1581620845.486,87.891,117.18799999999999,33.203,199.707,0.0,0
1581620845.49,100.098,135.254,23.438000000000002,148.438,0.0,0
1581620845.492,57.617,123.535,28.809,130.859,0.0,0
1581620845.496,141.602,120.117,32.715,145.02,0.0,0
1581620845.5,221.19099999999997,128.906,25.879,154.785,0.0,0
1581620845.504,78.125,133.30100000000002,29.296999999999997,129.395,0.0,0
1581620845.508,-85.449,138.184,36.133,104.98,0.0,0
1581620845.512,-62.5,145.02,40.527,116.699,0.0,0
1581620845.516,32.715,152.832,40.527,118.652,0.0,0
1581620845.519,10.742,158.691,34.668,94.238,0.0,0
1581620845.5229998,-79.59,146.484,35.156,69.824,0.0,0
1581620845.5270002,-109.863,165.03900000000004,34.18,47.852,0.0,0
1581620845.5310001,-76.66,187.012,32.227,34.668,0.0,0
1581620845.535,-124.512,165.03900000000004,34.18,20.996,0.0,0
1581620845.5370002,-179.688,153.32,33.691,-9.277000000000001,0.0,0
1581620845.5410001,-201.172,154.785,33.691,-7.324,0.0,0
1581620845.545,-196.77700000000002,139.16,38.086,24.901999999999997,0.0,0
1581620845.549,-151.855,125.488,34.668,25.391,0.0,0
1581620845.553,-140.137,129.88299999999998,24.901999999999997,-19.531,0.0,0
1581620845.5570002,-146.484,114.74600000000001,24.414,-44.922,0.0,0
1581620845.561,-107.91,99.12100000000001,33.691,-20.996,0.0,0
1581620845.564,-53.223,95.70299999999999,38.086,-7.324,0.0,0
1581620845.5679998,11.719000000000001,93.262,39.551,-24.901999999999997,0.0,0
1581620845.572,42.968999999999994,100.586,40.527,-52.733999999999995,0.0,0
1581620845.576,25.879,94.727,37.598,-36.133,0.0,0
1581620845.58,44.922,86.426,35.156,-16.113,0.0,0
1581620845.582,96.191,75.684,39.551,-29.296999999999997,0.0,0
1581620845.586,128.418,55.176,43.457,-56.152,0.0,0
1581620845.59,132.32399999999998,29.296999999999997,44.922,-54.688,0.0,0
1581620845.5939999,116.211,23.926,50.78100000000001,-8.301,0.0,0
1581620845.5979998,140.137,38.086,50.78100000000001,0.488,0.0,0
1581620845.6020002,177.24599999999995,46.387,43.945,-43.457,0.0,0
1581620845.606,158.203,48.34,44.922,-47.363,0.0,0
1581620845.609,118.652,24.414,43.945,-19.531,0.0,0
1581620845.613,116.699,4.395,41.504,-1.465,0.0,0
1581620845.617,144.531,-11.23,42.48,-9.277000000000001,0.0,0
1581620845.621,150.879,-43.945,41.504,-16.602,0.0,0
1581620845.625,119.141,-74.707,41.01600000000001,12.207,0.0,0
1581620845.627,103.027,-105.469,39.551,26.366999999999997,0.0,0
1581620845.631,122.07,-139.648,38.086,15.137,0.0,0
1581620845.635,134.27700000000002,-178.22299999999996,34.668,10.254000000000001,0.0,0
1581620845.639,104.00399999999999,-211.91400000000002,34.668,34.668,0.0,0
1581620845.643,73.242,-231.445,36.133,63.965,0.0,0
1581620845.647,61.523,-258.789,37.109,44.434,0.0,0
1581620845.651,47.363,-289.551,35.645,19.043,0.0,0
1581620845.654,7.812,-300.781,36.133,29.296999999999997,0.0,0
1581620845.658,-25.391,-301.27,37.109,59.082,0.0,0
1581620845.6620002,-31.738000000000003,-320.312,38.574,73.73,0.0,0
1581620845.6660001,-53.71100000000001,-333.496,39.062,53.223,0.0,0
1581620845.67,-104.00399999999999,-338.86699999999996,35.156,52.733999999999995,0.0,0
1581620845.6720002,-146.484,-336.914,35.156,85.93799999999996,0.0,0
1581620845.676,-162.109,-336.426,38.574,113.77,0.0,0
1581620845.68,-167.96900000000005,-343.26199999999994,40.527,95.70299999999999,0.0,0
1581620845.684,-190.918,-345.215,38.574,66.406,0.0,0
1581620845.688,-242.676,-348.145,39.062,72.75399999999998,0.0,0
1581620845.6920002,-277.832,-348.63300000000015,39.062,103.516,0.0,0
1581620845.696,-300.781,-353.027,37.109,81.055,0.0,0
1581620845.699,-313.965,-339.355,35.156,34.18,0.0,0
1581620845.7029998,-338.379,-332.52,35.645,47.363,0.0,0
1581620845.707,-368.164,-346.191,36.621,93.262,0.0,0
1581620845.711,-352.051,-337.89099999999996,38.086,84.473,0.0,0
1581620845.715,-337.89099999999996,-331.543,41.992,55.176,0.0,0
1581620845.717,-342.285,-334.961,42.48,64.941,0.0,0
1581620845.721,-354.004,-333.0080000000001,41.504,83.984,0.0,0
1581620845.725,-364.746,-323.242,35.645,102.051,0.0,0
