timestamps,TP9,AF7,AF8,TP10,Marker0
1581622732.997,186.523,-972.168,-621.094,176.270,0
1581622733.001,188.965,-972.168,-672.852,179.199,0
1581622733.005,197.754,-972.168,-711.914,168.945,0
1581622733.009,195.312,-972.168,-753.418,171.387,0
1581622733.013,182.129,-972.168,-768.555,198.730,0
1581622733.017,200.195,-972.168,-783.691,206.543,0
1581622733.021,230.957,-972.168,-810.059,207.031,0
1581622733.024,234.375,-972.168,-820.312,230.469,0
1581622733.028,242.676,-972.168,-824.219,229.980,0
1581622733.032,265.625,-972.168,-829.102,242.676,0
1581622733.036,272.461,-972.168,-826.660,290.527,0
1581622733.040,270.020,-972.168,-833.008,295.898,0
1581622733.042,277.832,-972.168,-852.051,275.879,0
1581622733.046,284.668,-972.168,-854.980,281.738,0
1581622733.050,290.039,-972.168,-835.938,284.180,0
1581622733.054,273.438,-972.168,-821.777,253.418,0
1581622733.058,241.211,-972.168,-818.359,236.816,0
1581622733.062,233.398,-972.168,-809.082,240.234,0
1581622733.066,240.234,-972.168,-797.852,230.957,0
1581622733.069,231.934,-972.168,-802.246,207.520,0
1581622733.073,222.656,-972.168,-811.035,208.008,0
1581622733.077,229.492,-972.168,-810.059,239.746,0
1581622733.081,214.844,-972.168,-808.105,233.887,0
1581622733.085,197.754,-972.168,-810.547,197.754,0
1581622733.102,220.703,-972.168,-813.477,202.637,0
1581622733.106,216.797,-972.168,-796.387,216.797,0
1581622733.110,188.477,-972.168,-772.461,219.238,0
1581622733.114,191.895,-972.168,-761.719,202.148,0
1581622733.118,202.637,-972.168,-761.230,173.340,0
1581622733.122,194.336,-972.168,-754.883,178.711,0
1581622733.126,162.598,-972.168,-730.957,182.129,0
1581622733.129,161.621,-972.168,-716.309,160.156,0
1581622733.133,200.195,-972.168,-711.914,173.828,0
1581622733.137,191.406,-972.168,-720.215,185.059,0
1581622733.141,170.898,-972.168,-727.051,185.547,0
1581622733.145,160.156,-972.168,-721.680,168.945,0
1581622733.147,140.625,-972.168,-715.332,134.277,0
1581622733.151,126.465,-972.168,-701.660,131.348,0
1581622733.155,129.883,-972.168,-690.430,133.301,0
1581622733.159,119.141,-972.168,-686.035,119.629,0
1581622733.163,125.977,-964.844,-684.570,123.047,0
1581622733.167,129.883,-992.676,-671.387,102.539,0
1581622733.171,121.582,-877.930,-664.551,112.305,0
1581622733.174,120.605,-801.270,-662.598,147.949,0
1581622733.178,111.328,-955.566,-646.484,122.559,0
1581622733.182,97.656,-979.492,-626.953,101.562,0
1581622733.186,86.426,-811.035,-608.887,114.258,0
1581622733.190,87.402,-668.945,-596.680,122.070,0
1581622733.207,97.656,-840.332,-597.168,99.121,0
1581622733.211,99.609,-957.031,-590.820,64.453,0
1581622733.215,63.477,-843.750,-569.824,68.359,0
1581622733.219,65.430,-778.809,-557.129,83.496,0
1581622733.223,80.078,-882.812,-547.363,89.355,0
1581622733.227,82.520,-872.070,-538.574,77.148,0
