timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1555612859.934,39.062,18.555,-656.250,41.504,-12.207,0
1555612859.938,44.434,23.438,-793.945,43.457,4.395,0
1555612859.942,51.758,21.973,-768.555,44.922,8.301,0
1555612859.946,47.363,15.137,-596.191,42.969,30.762,0
1555612859.950,42.969,14.648,-597.168,41.016,10.254,0
1555612859.954,46.387,15.625,-789.062,48.340,17.090,0
1555612859.958,47.363,17.578,-873.047,50.293,29.785,0
1555612859.961,37.598,16.113,-843.262,40.039,40.527,0
1555612859.965,38.574,15.137,-637.207,37.598,67.871,0
1555612859.969,45.898,17.578,-624.023,48.828,20.020,0
1555612859.973,40.039,18.066,-747.559,49.805,21.973,0
1555612859.977,37.109,17.090,-568.359,43.945,66.406,0
1555612859.964,36.133,16.113,-384.766,35.156,62.988,0
1555612859.968,32.715,16.602,-570.312,41.016,-21.484,0
1555612859.972,33.203,17.090,-736.328,47.363,-4.883,0
1555612859.976,34.668,12.695,-595.215,39.551,41.992,0
1555612859.980,39.062,10.254,-501.953,37.598,-9.277,0
1555612859.984,39.062,13.672,-657.715,40.039,14.648,0
1555612859.988,39.062,13.672,-825.195,44.434,23.926,0
1555612859.991,40.527,14.160,-653.320,42.969,35.645,0
1555612859.995,39.062,15.625,-380.371,42.969,79.590,0
1555612859.999,39.551,11.719,-406.250,49.316,65.918,0
1555612860.003,42.969,12.695,-787.598,49.805,-2.441,0
1555612860.007,42.969,16.602,-973.633,47.852,-63.965,0
1555612860.009,37.598,17.578,-587.891,41.504,4.883,0
1555612860.013,42.480,15.137,-476.074,35.645,11.719,0
1555612860.017,46.875,12.695,-697.754,39.062,5.371,0
1555612860.021,43.457,12.695,-690.918,40.527,21.484,0
1555612860.025,39.062,9.766,-530.762,35.645,-5.859,0
1555612860.029,33.203,10.254,-566.406,33.691,-8.301,0
1555612860.033,37.598,15.625,-897.949,37.598,1.953,0
1555612860.036,37.598,14.160,-923.340,38.086,35.156,0
