timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1581350871.945,64.453,-19.043,-972.168,176.27,0.0,0
1581350871.949,72.266,-17.578,-972.656,-997.07,0.0,0
1581350871.9529998,52.734,-16.602,-972.656,-925.293,0.0,0
1581350871.957,36.621,-15.137,-972.168,-926.758,0.0,0
1581350871.961,28.809,-14.16,-972.168,-959.473,0.0,0
1581350871.965,43.945,-12.695,-972.656,-1000.0,0.0,0
1581350871.969,75.195,-19.043,-972.168,436.523,0.0,0
1581350871.972,58.105,-21.973000000000006,-972.168,506.348,0.0,0
1581350871.976,30.273000000000003,-16.113,-972.168,-740.7230000000002,0.0,0
1581350871.98,29.785,-18.555,-972.656,42.48,0.0,0
1581350871.984,33.203,-19.043,-972.168,-314.453,0.0,0
1581350871.988,26.855,-20.02,-972.168,-930.664,0.0,0
1581350871.99,26.855,-19.043,-972.656,-1000.0,0.0,0
1581350871.994,27.344,-23.438,-972.656,-462.891,0.0,0
1581350871.998,30.762,-20.02,-972.168,807.1289999999998,0.0,0
1581350872.002,31.25,-10.742,-972.656,-73.73,0.0,0
1581350872.006,21.973000000000006,-19.531,-972.656,-1000.0,0.0,0
1581350872.01,24.902,-27.832,-972.656,-940.918,0.0,0
1581350872.014,24.414,-21.484,-972.168,-915.527,0.0,0
1581350872.0170002,11.719,-8.301,-972.168,308.105,0.0,0
1581350872.021,16.602,0.0,-972.168,-722.168,0.0,0
1581350872.025,11.23,2.93,-972.656,404.785,0.0,0
1581350872.029,10.254,6.836,-972.656,-809.57,0.0,0
1581350872.033,20.02,10.254,-972.656,395.996,0.0,0
1581350872.05,21.973000000000006,8.301,-972.656,-840.82,0.0,0
1581350872.054,24.414,5.859,-972.168,921.387,0.0,0
1581350872.0579998,40.039,9.766,-972.168,-994.141,0.0,0
1581350872.062,42.48,12.695,-972.168,999.512,0.0,0
1581350872.066,36.621,15.137,-972.656,999.512,0.0,0
1581350872.07,50.293,17.09,-972.168,999.512,0.0,0
1581350872.074,77.637,22.949,-972.656,999.512,0.0,0
1581350872.077,73.73,26.367,-972.168,999.512,0.0,0
1581350872.081,40.039,16.113,-972.168,999.512,0.0,0
1581350872.085,33.691,9.766,-972.168,999.512,0.0,0
1581350872.089,34.668,14.16,-972.168,-999.512,0.0,0
1581350872.093,17.578,15.137,-972.656,990.234,0.0,0
1581350872.095,17.09,8.789,-972.656,955.566,0.0,0
1581350872.099,-3.418,2.441,-972.656,-840.332,0.0,0
1581350872.103,-3.906,0.488,-972.168,-63.477,0.0,0
1581350872.107,11.719,4.883,-972.168,-219.238,0.0,0
1581350872.111,-3.418,3.418,-972.656,-979.004,0.0,0
1581350872.115,-20.508000000000006,-8.789,-972.656,-858.887,0.0,0
1581350872.119,-30.273000000000003,-8.789,-972.168,-20.508000000000006,0.0,0
1581350872.1220002,-19.531,4.395,-972.168,-645.508,0.0,0
1581350872.1260002,-7.812,7.324,-972.168,-302.246,0.0,0
1581350872.13,5.371,6.348,-972.168,-946.777,0.0,0
1581350872.1339998,17.578,14.16,-972.168,-1000.0,0.0,0
1581350872.1379998,2.93,9.277,-972.168,-575.684,0.0,0
1581350872.14,-4.883,4.883,-972.656,723.633,0.0,0
1581350872.144,11.23,9.277,-972.656,508.789,0.0,0
1581350872.1479998,-8.789,8.301,-972.168,653.32,0.0,0
1581350872.1520002,-16.113,6.836,-972.168,-904.785,0.0,0
1581350872.156,-9.277,3.418,-972.656,964.844,0.0,0
1581350872.16,13.672,2.441,-972.168,-990.723,0.0,0
1581350872.164,34.668,11.719,-972.656,984.863,0.0,0
1581350872.167,9.766,17.578,-972.656,967.285,0.0,0
1581350872.171,3.418,11.719,-972.168,-934.57,0.0,0
1581350872.175,25.391,15.137,-972.168,20.02,0.0,0
1581350872.179,23.926,22.949,-972.656,-1000.0,0.0,0
1581350872.1829998,3.906,20.508000000000006,-972.656,-912.109,0.0,0
1581350872.185,21.484,13.184,-972.656,70.801,0.0,0
1581350872.189,37.109,17.09,-972.168,-954.59,0.0,0
1581350872.1929998,30.762,24.414,-972.168,983.398,0.0,0
1581350872.197,36.133,17.578,-972.656,958.496,0.0,0
1581350872.201,35.156,19.531,-972.168,-970.703,0.0,0
1581350872.205,30.273000000000003,20.508000000000006,-972.168,993.164,0.0,0
1581350872.209,59.082,23.438,-972.656,583.496,0.0,0
1581350872.212,78.125,24.414,-972.168,854.0039999999998,0.0,0
1581350872.216,43.457,18.066,-972.168,-958.008,0.0,0
1581350872.22,10.742,29.785,-972.168,892.09,0.0,0
1581350872.224,36.133,35.156,-972.656,-987.793,0.0,0
1581350872.228,44.434,23.926,-972.168,322.266,0.0,0
1581350872.23,62.012,23.438,-972.168,128.906,0.0,0
1581350872.234,52.246,23.438,-972.168,-140.137,0.0,0
1581350872.238,43.457,14.648,-972.168,-1000.0,0.0,0
1581350872.242,59.082,15.625,-972.168,-968.262,0.0,0
1581350872.246,65.43,12.695,-972.168,-954.59,0.0,0
1581350872.25,50.78100000000001,7.812,-972.168,-966.797,0.0,0
1581350872.254,29.297,17.09,-972.168,-925.781,0.0,0
1581350872.2570002,44.922,14.648,-972.168,-1000.0,0.0,0
1581350872.2610002,39.062,11.719,-972.168,-50.293,0.0,0
1581350872.265,28.809,24.414,-972.656,-907.715,0.0,0
1581350872.269,66.895,20.508000000000006,-972.656,967.285,0.0,0
1581350872.2729998,63.477,10.254,-972.656,981.445,0.0,0
1581350872.276,29.297,10.742,-972.656,-996.094,0.0,0
1581350872.28,24.414,11.719,-972.168,-1000.0,0.0,0
1581350872.284,12.207,2.441,-972.168,936.523,0.0,0
1581350872.288,8.301,3.418,-972.168,-861.816,0.0,0
1581350872.292,13.184,8.789,-972.168,213.867,0.0,0
1581350872.296,20.508000000000006,7.324,-972.168,-1000.0,0.0,0
1581350872.3,30.273000000000003,3.418,-972.168,-967.773,0.0,0
1581350872.303,49.316,-0.977,-972.168,-941.406,0.0,0
1581350872.3070002,58.105,7.324,-972.168,-182.129,0.0,0
1581350872.311,19.043,12.695,-972.168,-518.555,0.0,0
1581350872.315,41.01600000000001,1.953,-972.168,-258.301,0.0,0
1581350872.319,47.363,-6.348,-972.656,-864.258,0.0,0
1581350872.323,27.344,9.277,-972.168,207.031,0.0,0
1581350872.327,33.691,9.277,-972.168,252.93,0.0,0
1581350872.331,11.719,-2.93,-972.656,-880.3710000000002,0.0,0
1581350872.335,20.508000000000006,-0.488,-972.168,972.656,0.0,0
1581350872.339,31.25,2.93,-972.168,982.91,0.0,0
1581350872.343,30.273000000000003,-3.906,-972.656,959.473,0.0,0
1581350872.347,34.18,-8.789,-972.168,769.5310000000002,0.0,0
1581350872.35,29.297,-5.371,-972.168,-74.219,0.0,0
1581350872.354,52.734,7.812,-972.168,-1000.0,0.0,0
1581350872.3579998,92.285,4.395,-972.168,-285.645,0.0,0
1581350872.3620002,81.055,-3.906,-972.168,996.582,0.0,0
1581350872.3660002,39.062,0.488,-972.168,-820.801,0.0,0
1581350872.3660002,31.738000000000003,-4.883,-972.656,105.469,0.0,0
1581350872.37,43.457,-10.742,-972.168,-72.266,0.0,0
1581350872.3739998,7.812,-12.207,-972.168,-886.23,0.0,0
1581350872.3779998,10.254,-14.16,-972.168,979.98,0.0,0
1581350872.3820002,0.0,-17.09,-972.168,871.582,0.0,0
1581350872.3860002,0.488,-20.508000000000006,-972.168,-912.598,0.0,0
1581350872.39,41.01600000000001,-16.113,-972.168,578.125,0.0,0
1581350872.393,25.391,-0.977,-972.168,-654.297,0.0,0
1581350872.397,31.25,2.93,-972.168,-917.969,0.0,0
1581350872.401,31.25,-1.953,-972.168,-948.242,0.0,0
1581350872.405,30.762,-6.348,-972.656,-975.098,0.0,0
1581350872.409,45.41,-4.395,-972.168,-974.121,0.0,0
1581350872.426,46.387,-7.812,-972.168,-972.168,0.0,0
1581350872.43,37.109,-12.207,-972.656,-972.168,0.0,0
1581350872.434,17.09,-5.859,-972.168,-985.352,0.0,0
1581350872.438,-2.441,-6.348,-972.168,-900.879,0.0,0
1581350872.4420002,13.184,-16.113,-972.168,-1000.0,0.0,0
1581350872.446,19.531,-18.555,-972.168,-540.039,0.0,0
1581350872.45,3.906,-15.137,-972.168,816.895,0.0,0
1581350872.4529998,25.879,-8.301,-972.168,936.523,0.0,0
1581350872.457,43.945,-11.719,-972.168,828.613,0.0,0
1581350872.461,21.973000000000006,-18.555,-972.656,908.203,0.0,0
1581350872.465,-1.465,-16.113,-972.168,973.633,0.0,0
1581350872.469,11.23,-16.113,-972.656,-999.512,0.0,0
1581350872.47,23.926,-19.043,-972.656,-997.559,0.0,0
1581350872.474,32.715,-17.09,-972.656,971.68,0.0,0
1581350872.478,52.734,-17.09,-972.656,-976.074,0.0,0
1581350872.482,41.992,-19.531,-972.168,-971.191,0.0,0
1581350872.486,28.32,-25.391,-972.168,208.008,0.0,0
1581350872.49,20.996,-29.297,-972.168,756.836,0.0,0
1581350872.494,34.668,-21.973000000000006,-972.168,750.977,0.0,0
1581350872.4970002,22.461,-16.602,-972.168,-367.1880000000001,0.0,0
1581350872.5010002,26.367,-27.832,-972.656,714.355,0.0,0
1581350872.505,51.27,-27.344,-972.656,-918.457,0.0,0
1581350872.5089998,24.414,-17.09,-972.656,-962.402,0.0,0
1581350872.5129998,30.273000000000003,-26.855,-972.168,688.965,0.0,0
1581350872.516,38.086,-31.25,-972.168,312.5,0.0,0
1581350872.52,25.391,-28.32,-972.168,976.074,0.0,0
1581350872.524,38.574,-23.438,-972.168,-894.5310000000002,0.0,0
1581350872.528,49.316,-20.508000000000006,-972.168,-228.516,0.0,0
1581350872.532,43.945,-25.391,-972.168,-893.066,0.0,0
1581350872.536,37.109,-22.949,-972.656,-571.7769999999998,0.0,0
1581350872.54,43.945,-19.043,-972.168,-992.188,0.0,0
1581350872.543,43.457,-20.02,-972.168,-914.551,0.0,0
1581350872.5470002,54.688,-20.02,-972.656,-1000.0,0.0,0
1581350872.551,44.434,-18.555,-972.168,-506.836,0.0,0
1581350872.555,37.109,-11.23,-972.656,-939.941,0.0,0
1581350872.559,38.086,-11.719,-972.168,31.25,0.0,0
1581350872.561,31.738000000000003,-18.555,-972.168,-713.867,0.0,0
1581350872.565,49.316,-19.043,-972.656,-485.352,0.0,0
1581350872.569,51.27,-11.23,-972.168,-1000.0,0.0,0
1581350872.573,16.113,-21.484,-972.168,-962.402,0.0,0
1581350872.577,16.113,-29.785,-972.168,-967.285,0.0,0
1581350872.581,46.387,-22.461,-972.168,-979.492,0.0,0
1581350872.585,62.988,-8.789,-972.168,-927.246,0.0,0
1581350872.5879998,40.039,-16.113,-972.168,-1000.0,0.0,0
1581350872.592,20.996,-26.367,-972.168,-863.2810000000002,0.0,0
1581350872.596,30.762,-6.348,-972.168,201.66,0.0,0
1581350872.6,31.25,-7.812,-972.656,-380.859,0.0,0
1581350872.604,38.574,-17.578,-972.168,-1000.0,0.0,0
1581350872.606,27.344,-15.625,-972.168,-911.621,0.0,0
1581350872.61,-4.883,-19.043,-972.168,-985.84,0.0,0
1581350872.6139998,11.719,-19.043,-972.168,-914.062,0.0,0
1581350872.6179998,16.602,-20.508000000000006,-972.168,-1000.0,0.0,0
1581350872.6220002,20.996,-20.996,-972.168,-297.8520000000001,0.0,0
1581350872.6260002,31.738000000000003,-18.555,-972.168,-9.766,0.0,0
1581350872.63,26.367,-16.113,-972.168,-1000.0,0.0,0
1581350872.633,18.555,-30.762,-972.656,-924.316,0.0,0
1581350872.637,31.738000000000003,-20.02,-972.168,-1000.0,0.0,0
1581350872.641,53.223,-6.348,-972.656,-51.758,0.0,0
1581350872.645,44.434,-13.184,-972.168,-796.875,0.0,0
1581350872.649,42.969,-15.625,-972.168,-365.234,0.0,0
1581350872.651,41.01600000000001,-22.461,-972.168,-365.234,0.0,0
1581350872.655,14.648,-20.508000000000006,-972.168,884.2769999999998,0.0,0
1581350872.659,16.113,-31.738000000000003,-972.168,-355.469,0.0,0
1581350872.663,25.391,-36.133,-972.168,155.762,0.0,0
1581350872.667,51.758,-35.156,-972.168,478.516,0.0,0
1581350872.671,37.109,-36.621,-972.168,-1000.0,0.0,0
1581350872.675,21.973000000000006,-41.01600000000001,-972.168,31.25,0.0,0
1581350872.678,16.113,-43.945,-972.168,-856.934,0.0,0
1581350872.6820002,44.434,-32.715,-972.656,948.73,0.0,0
1581350872.686,84.961,-35.156,-972.168,987.305,0.0,0
1581350872.69,83.008,-39.551,-972.168,-997.559,0.0,0
1581350872.694,84.473,-29.785,-972.656,999.512,0.0,0
1581350872.696,68.848,-29.785,-972.168,-990.723,0.0,0
1581350872.7,64.941,-20.996,-972.656,955.078,0.0,0
1581350872.704,45.41,-14.16,-972.656,-956.055,0.0,0
1581350872.708,31.25,-26.855,-972.168,819.824,0.0,0
1581350872.712,49.316,-28.32,-972.168,-362.305,0.0,0
1581350872.716,54.199,-21.973000000000006,-972.168,-1000.0,0.0,0
1581350872.72,78.613,-26.367,-972.168,-144.043,0.0,0
1581350872.7229998,92.773,-24.414,-972.656,-959.961,0.0,0
1581350872.7270002,66.406,-12.695,-972.168,-933.594,0.0,0
1581350872.731,55.664,-15.625,-972.168,609.863,0.0,0
1581350872.735,60.059,-18.555,-972.656,648.9259999999998,0.0,0
1581350872.7389998,87.402,-16.602,-972.168,397.949,0.0,0
1581350872.74,72.75399999999998,-19.531,-972.656,-1000.0,0.0,0
1581350872.744,27.832,-22.461,-972.168,-442.871,0.0,0
1581350872.748,45.41,-24.414,-972.168,962.402,0.0,0
1581350872.752,44.434,-36.621,-972.168,-964.355,0.0,0
1581350872.756,27.832,-37.598,-972.656,869.6289999999998,0.0,0
1581350872.76,26.367,-34.18,-972.656,-945.312,0.0,0
1581350872.764,49.805,-32.227,-972.168,38.086,0.0,0
