timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1556048314.528,54.688,-203.613,47.852,-23.926,-178.223,0
1556048314.532,-53.711,-459.961,45.410,-16.602,-208.008,0
1556048314.536,-5.371,-587.891,41.992,-19.043,-211.914,0
1556048314.540,112.793,-379.883,43.457,-19.043,-210.938,0
1556048314.544,96.680,-203.125,45.898,-7.324,-166.504,0
1556048314.548,-24.414,-491.699,42.480,-5.859,-150.391,0
1556048314.552,-25.879,-927.734,40.039,-6.348,-138.184,0
1556048314.555,97.656,-707.031,46.387,-1.465,-112.793,0
1556048314.559,118.164,-175.293,45.898,5.371,-142.578,0
1556048314.563,-3.906,-299.805,38.574,9.766,-143.066,0
1556048314.567,-62.012,-566.406,39.551,2.441,-132.324,0
1556048314.571,55.176,-313.965,44.922,2.930,-88.867,0
1556048314.573,127.930,-45.898,45.898,12.207,-111.328,0
1556048314.577,30.273,-208.008,42.969,12.695,-111.328,0
1556048314.581,-62.012,-481.934,42.969,14.648,-104.492,0
1556048314.585,20.020,-310.547,45.410,14.648,-74.219,0
1556048314.589,122.070,-25.879,47.363,18.066,-77.637,0
1556048314.593,63.965,-252.441,43.945,22.949,-94.727,0
1556048314.597,-51.270,-693.848,43.945,12.207,-50.293,0
1556048314.600,-13.184,-466.797,49.316,11.230,-62.988,0
1556048314.604,108.398,-53.711,48.828,20.996,-82.031,0
1556048314.608,97.168,-51.758,45.898,22.949,-42.480,0
1556048314.612,-29.785,-234.863,37.598,12.207,-64.941,0
1556048314.616,-49.316,-232.422,34.668,8.789,-62.012,0
1556048314.633,71.777,-77.148,36.621,18.555,-37.598,0
1556048314.637,108.398,-8.789,36.621,11.719,-41.016,0
1556048314.641,1.953,-79.590,36.621,7.812,-27.832,0
1556048314.645,-56.152,-119.141,40.039,16.113,33.203,0
1556048314.649,44.434,-36.621,39.551,17.578,5.371,0
1556048314.653,118.164,-82.520,35.645,17.578,-65.430,0
1556048314.657,27.832,-131.836,37.598,15.625,-8.789,0
1556048314.660,-71.777,-141.113,40.527,14.160,-1.465,0
1556048314.664,5.859,-104.980,38.086,20.020,-19.531,0
1556048314.668,115.723,-222.168,33.203,22.949,-40.039,0
1556048314.672,64.453,-138.672,32.715,20.020,-27.832,0
1556048314.676,-36.621,-25.879,26.367,32.715,1.953,0
1556048314.678,0.977,-248.047,30.762,49.805,11.719,0
1556048314.682,94.727,-9.277,45.410,41.016,72.266,0
1556048314.686,84.473,257.324,45.898,32.715,41.016,0
1556048314.690,-18.555,110.352,44.922,44.434,13.672,0
1556048314.694,-37.598,-150.879,45.898,49.805,20.508,0
1556048314.698,76.172,-208.984,45.410,55.664,-28.320,0
1556048314.702,120.605,42.969,47.852,65.918,45.898,0
1556048314.705,14.648,130.859,50.781,60.059,38.574,0
1556048314.709,-56.152,-272.461,48.828,53.711,-50.781,0
1556048314.713,48.340,-476.562,46.875,57.129,-38.086,0
1556048314.717,134.277,86.914,52.246,64.453,9.277,0
1556048314.721,52.246,247.070,55.176,69.824,-9.766,0
1556048314.723,-53.223,-92.285,56.641,70.801,-23.438,0
1556048314.727,0.977,-50.781,55.664,68.359,20.020,0
1556048314.731,116.699,150.879,53.223,62.988,-19.043,0
1556048314.735,86.426,118.652,47.852,62.500,-23.926,0
1556048314.739,-42.480,-34.180,41.992,57.617,21.484,0
1556048314.743,-30.273,-186.523,38.574,55.664,21.484,0
1556048314.747,95.703,-35.645,39.551,59.082,44.922,0
1556048314.750,107.422,217.285,38.086,57.129,21.973,0
1556048314.754,-9.766,-219.238,30.273,53.223,-27.832,0
1556048314.758,-51.270,-428.711,33.203,49.316,-9.766,0
1556048314.762,68.848,127.930,40.527,52.246,-3.906,0
1556048314.766,126.465,299.316,39.551,59.570,13.672,0
1556048314.768,26.855,175.293,37.109,57.129,61.035,0
1556048314.772,-56.641,66.406,37.598,55.664,53.223,0
1556048314.776,25.879,145.020,39.551,53.223,13.672,0
1556048314.780,126.465,223.633,36.621,48.340,20.508,0
1556048314.784,64.941,140.137,37.109,54.688,40.527,0
1556048314.788,-48.340,-48.828,41.016,57.129,40.039,0
1556048314.792,-5.371,-86.914,40.039,50.293,55.176,0
1556048314.795,110.352,-7.812,38.574,56.152,52.734,0
1556048314.799,91.797,-141.113,43.457,62.500,-6.836,0
1556048314.803,-29.785,11.230,51.270,54.688,30.762,0
1556048314.807,-34.668,110.840,51.758,58.594,51.758,0
