timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1582308518.365,12.207,1.953,31.738000000000003,24.902,0.0,0
1582308518.369,27.832,12.695,26.367,38.086,0.0,0
1582308518.373,35.156,6.348,33.691,41.504,0.0,0
1582308518.377,24.902,10.742,35.156,41.01600000000001,0.0,0
1582308518.381,10.254,11.23,36.621,36.621,0.0,0
1582308518.385,15.625,-0.977,39.551,35.156,0.0,0
1582308518.389,29.785,3.418,36.133,41.504,0.0,0
1582308518.3920002,24.902,39.062,34.18,41.992,0.0,0
1582308518.396,13.184,37.109,31.738000000000003,32.227,0.0,0
1582308518.4,13.672,31.738000000000003,30.273000000000003,20.02,0.0,0
1582308518.404,27.832,34.668,30.762,26.855,0.0,0
1582308518.408,34.668,26.367,24.414,29.785,0.0,0
1582308518.41,27.344,24.414,23.926,26.855,0.0,0
1582308518.414,23.926,16.113,33.691,36.133,0.0,0
1582308518.418,31.738000000000003,29.785,28.32,37.598,0.0,0
1582308518.4220002,31.25,35.645,22.461,28.809,0.0,0
1582308518.426,21.484,24.902,34.18,30.762,0.0,0
1582308518.43,19.043,1.465,37.598,39.551,0.0,0
1582308518.434,23.438,-7.812,30.762,42.48,0.0,0
1582308518.437,32.715,26.855,33.203,38.574,0.0,0
1582308518.441,20.508000000000006,46.875,35.645,25.391,0.0,0
1582308518.445,10.742,44.434,28.32,22.949,0.0,0
1582308518.449,18.066,40.039,26.367,25.391,0.0,0
1582308518.4529998,34.18,38.574,27.832,35.645,0.0,0
1582308518.455,37.109,23.438,27.832,35.156,0.0,0
1582308518.459,28.809,10.254,31.738000000000003,33.691,0.0,0
1582308518.4629998,26.855,20.996,28.32,39.551,0.0,0
1582308518.467,31.25,20.996,23.438,29.297,0.0,0
1582308518.471,39.062,3.418,27.344,31.738000000000003,0.0,0
1582308518.475,29.297,14.648,29.297,38.574,0.0,0
1582308518.479,21.484,43.457,26.367,34.668,0.0,0
1582308518.482,28.32,43.945,24.414,37.598,0.0,0
1582308518.486,29.785,24.414,25.391,35.645,0.0,0
1582308518.49,26.367,14.16,26.855,40.039,0.0,0
1582308518.494,24.902,28.32,30.762,41.504,0.0,0
1582308518.498,27.832,13.672,28.809,39.551,0.0,0
1582308518.5,42.48,-0.977,27.344,48.34,0.0,0
