timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1581971396.462,27.832,33.691,20.02,9.277,0.0,0
1581971396.466,26.367,24.902,12.695,5.371,0.0,0
1581971396.47,49.316,32.715,21.973000000000006,23.926,0.0,0
1581971396.474,40.527,35.645,28.809,21.484,0.0,0
1581971396.478,18.555,24.414,19.043,8.789,0.0,0
1581971396.482,24.902,13.184,17.09,12.207,0.0,0
1581971396.486,31.738000000000003,32.227,20.02,20.996,0.0,0
1581971396.4889998,32.715,45.898,23.926,26.855,0.0,0
1581971396.4929998,32.715,35.645,34.18,20.02,0.0,0
1581971396.4970002,20.508000000000006,26.855,30.762,7.324,0.0,0
1581971396.5010002,2.441,21.484,21.973000000000006,-1.953,0.0,0
1581971396.505,14.648,35.156,30.273000000000003,-4.395,0.0,0
1581971396.506,11.719,26.855,28.809,-8.301,0.0,0
1581971396.51,4.883,20.02,11.23,-9.277,0.0,0
1581971396.514,11.719,34.18,9.277,-21.484,0.0,0
1581971396.518,-3.418,35.645,21.973000000000006,-24.902,0.0,0
1581971396.522,-6.836,31.25,32.715,-23.926,0.0,0
1581971396.526,9.277,25.879,34.668,-10.254,0.0,0
1581971396.53,27.344,42.969,38.086,14.16,0.0,0
1581971396.533,20.996,46.387,34.668,3.418,0.0,0
1581971396.5370002,28.809,30.762,30.273000000000003,-7.812,0.0,0
1581971396.541,27.344,30.273000000000003,36.621,7.812,0.0,0
1581971396.545,17.578,35.156,41.992,8.789,0.0,0
1581971396.549,8.301,26.855,28.32,-10.254,0.0,0
1581971396.552,-4.883,23.926,15.625,-12.207,0.0,0
1581971396.556,11.23,24.414,18.555,4.883,0.0,0
1581971396.56,18.555,26.367,27.832,2.441,0.0,0
1581971396.564,10.254,26.367,39.551,3.906,0.0,0
1581971396.5679998,10.742,19.531,38.086,0.488,0.0,0
1581971396.572,20.02,23.438,29.785,-3.906,0.0,0
1581971396.576,32.227,30.762,37.598,10.254,0.0,0
1581971396.579,29.297,25.391,37.598,1.953,0.0,0
1581971396.583,20.996,31.738000000000003,21.973000000000006,-15.625,0.0,0
1581971396.587,32.715,33.203,32.227,-4.395,0.0,0
1581971396.591,45.41,29.297,37.109,-0.977,0.0,0
1581971396.595,32.227,32.227,24.414,-9.277,0.0,0
1581971396.597,32.227,33.203,33.691,8.301,0.0,0
1581971396.601,46.387,30.273000000000003,33.691,21.973000000000006,0.0,0
1581971396.605,44.922,28.809,35.645,14.16,0.0,0
1581971396.609,38.086,35.156,46.387,15.137,0.0,0
1581971396.613,11.23,28.32,37.598,16.113,0.0,0
1581971396.617,10.742,20.996,41.01600000000001,10.742,0.0,0
1581971396.621,33.691,25.879,49.316,14.648,0.0,0
1581971396.6239998,39.062,36.621,43.945,15.625,0.0,0
1581971396.6279998,41.01600000000001,38.574,40.527,20.02,0.0,0
1581971396.6320002,21.973000000000006,18.555,30.762,15.137,0.0,0
1581971396.6360002,27.832,14.648,31.25,29.785,0.0,0
1581971396.64,51.758,24.414,39.062,27.832,0.0,0
1581971396.6420002,34.668,26.367,42.48,19.043,0.0,0
1581971396.646,16.113,30.273000000000003,45.41,25.391,0.0,0
1581971396.65,20.508000000000006,23.438,44.922,18.555,0.0,0
1581971396.654,37.109,23.438,44.922,18.066,0.0,0
1581971396.658,25.391,29.785,40.039,27.344,0.0,0
1581971396.6620002,24.414,29.297,33.691,18.555,0.0,0
1581971396.666,39.062,34.668,33.203,8.301,0.0,0
1581971396.669,43.457,48.34,59.082,30.762,0.0,0
1581971396.673,33.203,38.086,59.082,6.348,0.0,0
1581971396.677,9.277,11.719,23.438,-32.715,0.0,0
1581971396.681,5.371,12.695,24.902,-21.973000000000006,0.0,0
1581971396.685,1.465,27.832,37.598,-6.836,0.0,0
1581971396.687,1.465,27.832,34.18,6.348,0.0,0
1581971396.691,14.648,19.531,47.363,6.348,0.0,0
1581971396.695,11.719,18.555,51.27,0.977,0.0,0
1581971396.699,15.137,35.156,49.316,22.461,0.0,0
1581971396.7029998,20.508000000000006,36.133,60.547,32.227,0.0,0
1581971396.707,14.648,16.113,43.945,11.719,0.0,0
1581971396.711,0.488,19.531,33.203,-13.184,0.0,0
1581971396.714,-7.324,24.414,39.062,-14.648,0.0,0
1581971396.718,0.488,23.926,48.828,9.766,0.0,0
1581971396.722,-11.23,28.809,47.852,-16.113,0.0,0
1581971396.726,-1.465,33.691,42.48,-19.043,0.0,0
1581971396.73,12.695,32.715,52.246,5.859,0.0,0
1581971396.7470002,4.395,23.926,54.199,-11.23,0.0,0
1581971396.7510002,-12.695,20.996,52.246,-20.02,0.0,0
1581971396.755,-20.996,29.785,48.828,-19.043,0.0,0
1581971396.7589998,-8.301,31.738000000000003,43.945,-36.133,0.0,0
1581971396.7629998,-7.324,34.668,47.363,-42.969,0.0,0
1581971396.7670002,-31.738000000000003,38.574,49.316,-56.64100000000001,0.0,0
1581971396.771,-40.039,35.156,54.199,-64.941,0.0,0
1581971396.774,-45.41,36.133,59.57,-77.148,0.0,0
1581971396.778,-54.688,45.41,61.523,-84.961,0.0,0
1581971396.782,-75.684,51.758,62.988,-95.215,0.0,0
1581971396.786,-92.285,49.805,46.875,-114.746,0.0,0
1581971396.79,-93.262,49.316,41.992,-121.094,0.0,0
1581971396.792,-115.723,49.316,53.223,-145.02,0.0,0
1581971396.796,-120.605,43.945,51.27,-153.32,0.0,0
1581971396.8,-106.934,34.668,57.129,-125.977,0.0,0
1581971396.804,-110.352,41.504,60.059,-139.648,0.0,0
1581971396.8079998,-124.512,49.316,47.852,-176.27,0.0,0
1581971396.812,-130.371,43.457,53.71100000000001,-173.828,0.0,0
1581971396.816,-150.391,34.18,64.453,-184.57,0.0,0
1581971396.819,-174.805,32.715,65.43,-202.637,0.0,0
1581971396.823,-159.668,46.875,63.965,-190.43,0.0,0
1581971396.827,-152.344,57.129,46.875,-170.41,0.0,0
1581971396.831,-148.92600000000004,61.035,39.062,-166.50400000000005,0.0,0
1581971396.835,-134.766,62.988,48.828,-171.875,0.0,0
1581971396.8379998,-129.88299999999998,44.434,48.828,-149.414,0.0,0
1581971396.842,-123.535,33.203,34.18,-123.047,0.0,0
1581971396.846,-121.094,37.598,36.621,-128.906,0.0,0
1581971396.85,-113.281,45.41,49.316,-141.602,0.0,0
1581971396.854,-103.027,45.898,51.27,-124.023,0.0,0
1581971396.8579998,-83.984,43.945,59.082,-94.727,0.0,0
1581971396.8620002,-72.266,38.574,54.688,-97.168,0.0,0
1581971396.865,-82.031,33.691,45.898,-79.59,0.0,0
1581971396.869,-70.801,34.668,46.875,-53.223,0.0,0
1581971396.873,-51.27,29.785,44.434,-49.316,0.0,0
1581971396.877,-49.316,23.926,31.738000000000003,-51.758,0.0,0
1581971396.881,-43.945,22.461,22.949,-50.78100000000001,0.0,0
1581971396.8820002,-22.949,24.902,22.461,-33.691,0.0,0
1581971396.8860002,-1.465,23.926,23.438,-18.066,0.0,0
1581971396.89,13.184,28.32,20.996,-4.883,0.0,0
1581971396.894,13.672,35.156,14.16,17.578,0.0,0
1581971396.8979998,10.254,33.691,25.391,21.484,0.0,0
1581971396.9020002,19.531,30.762,40.039,0.0,0.0,0
1581971396.906,32.227,30.762,38.574,20.508000000000006,0.0,0
1581971396.909,30.762,19.043,28.32,24.414,0.0,0
1581971396.913,30.273000000000003,20.02,25.879,40.527,0.0,0
1581971396.917,42.969,29.297,21.973000000000006,72.266,0.0,0
1581971396.921,61.523,20.02,18.066,60.059,0.0,0
1581971396.925,78.613,15.137,32.227,53.71100000000001,0.0,0
1581971396.927,75.684,22.949,40.527,63.477,0.0,0
1581971396.931,50.78100000000001,28.809,29.785,55.664,0.0,0
1581971396.935,60.547,18.066,20.996,61.035,0.0,0
1581971396.939,80.078,13.184,21.973000000000006,74.707,0.0,0
1581971396.9429998,70.312,25.391,36.133,77.637,0.0,0
1581971396.947,54.688,28.32,36.133,76.66,0.0,0
1581971396.951,50.293,29.297,32.715,67.87100000000001,0.0,0
1581971396.954,60.059,24.414,36.621,64.453,0.0,0
1581971396.958,76.172,23.926,35.156,74.219,0.0,0
1581971396.962,74.707,24.414,41.992,81.543,0.0,0
1581971396.966,79.59,26.367,45.898,82.52,0.0,0
1581971396.97,75.195,24.902,39.551,72.266,0.0,0
1581971396.972,55.664,12.695,32.227,51.758,0.0,0
1581971396.976,62.5,7.812,28.32,65.43,0.0,0
1581971396.98,70.312,10.742,29.785,86.914,0.0,0
1581971396.984,80.566,6.348,35.156,80.566,0.0,0
1581971396.988,108.887,16.113,37.598,84.473,0.0,0
1581971396.992,117.188,32.715,34.668,82.031,0.0,0
1581971396.996,92.773,28.32,34.668,85.93799999999997,0.0,0
1581971396.9989998,85.449,31.738000000000003,33.691,94.727,0.0,0
1581971397.0029998,92.285,37.598,29.297,76.172,0.0,0
1581971397.0070002,91.797,39.062,31.25,84.961,0.0,0
1581971397.0110002,93.262,27.344,37.109,94.727,0.0,0
1581971397.015,101.074,20.02,40.527,81.055,0.0,0
1581971397.018,103.516,27.344,35.645,84.961,0.0,0
1581971397.022,99.121,26.367,28.809,85.93799999999997,0.0,0
1581971397.026,78.613,20.02,29.297,71.289,0.0,0
1581971397.03,67.87100000000001,19.043,37.598,59.082,0.0,0
1581971397.034,88.867,27.344,38.574,59.57,0.0,0
1581971397.038,92.773,18.555,32.227,71.777,0.0,0
1581971397.042,71.777,19.043,36.133,79.102,0.0,0
1581971397.045,72.75399999999998,37.109,34.18,62.012,0.0,0
1581971397.049,78.613,40.527,26.367,63.965,0.0,0
1581971397.053,60.547,33.203,35.645,64.941,0.0,0
1581971397.0570002,55.176,20.996,43.457,55.664,0.0,0
1581971397.061,67.383,25.879,38.574,44.922,0.0,0
1581971397.062,53.223,35.645,35.645,46.387,0.0,0
1581971397.066,55.176,34.668,39.551,56.152,0.0,0
1581971397.07,63.965,28.32,41.01600000000001,59.082,0.0,0
1581971397.074,58.105,32.715,35.645,70.801,0.0,0
1581971397.0779998,63.965,38.574,35.645,66.895,0.0,0
1581971397.082,57.617,30.762,35.645,48.34,0.0,0
1581971397.086,47.363,22.949,34.18,39.062,0.0,0
1581971397.089,47.852,30.762,38.086,47.852,0.0,0
1581971397.093,53.223,33.691,32.227,57.617,0.0,0
1581971397.097,66.895,21.973000000000006,32.227,40.527,0.0,0
1581971397.101,66.895,20.508000000000006,33.203,30.273000000000003,0.0,0
1581971397.105,43.457,32.227,26.855,31.738000000000003,0.0,0
1581971397.1220002,26.855,36.621,25.391,27.832,0.0,0
1581971397.1260002,33.691,33.203,35.156,31.25,0.0,0
1581971397.13,42.969,32.715,41.504,38.086,0.0,0
1581971397.1339998,41.01600000000001,37.598,41.01600000000001,36.621,0.0,0
1581971397.1379998,48.828,27.344,39.551,30.762,0.0,0
1581971397.1420002,48.828,16.602,34.668,20.508000000000006,0.0,0
1581971397.146,52.734,29.297,34.668,21.973000000000006,0.0,0
1581971397.149,55.664,34.18,40.039,28.32,0.0,0
1581971397.153,58.105,31.738000000000003,48.828,45.41,0.0,0
1581971397.157,61.035,36.133,46.875,54.199,0.0,0
1581971397.161,45.41,38.574,49.316,37.109,0.0,0
1581971397.165,44.434,40.527,53.71100000000001,35.645,0.0,0
1581971397.167,34.18,32.715,42.969,22.461,0.0,0
1581971397.171,38.574,28.32,36.133,16.602,0.0,0
1581971397.175,42.969,33.203,40.039,30.273000000000003,0.0,0
1581971397.179,40.039,30.762,36.621,40.039,0.0,0
1581971397.1829998,44.434,24.902,35.645,31.738000000000003,0.0,0
1581971397.187,42.48,23.926,41.992,31.738000000000003,0.0,0
1581971397.191,51.27,25.391,29.785,38.086,0.0,0
1581971397.194,50.78100000000001,33.203,21.484,41.504,0.0,0
1581971397.198,34.18,33.691,37.598,36.133,0.0,0
1581971397.202,36.621,31.738000000000003,48.34,10.742,0.0,0
1581971397.206,40.039,36.621,48.828,12.207,0.0,0
1581971397.21,38.086,37.598,43.945,21.973000000000006,0.0,0
1581971397.212,41.504,35.645,38.574,9.766,0.0,0
1581971397.216,45.898,30.762,37.109,19.043,0.0,0
1581971397.22,52.246,26.855,41.01600000000001,31.738000000000003,0.0,0
1581971397.224,53.71100000000001,33.691,35.156,26.367,0.0,0
1581971397.228,49.805,38.574,31.738000000000003,14.16,0.0,0
1581971397.232,48.34,23.926,44.922,14.16,0.0,0
1581971397.236,35.645,18.066,51.27,33.691,0.0,0
1581971397.2389998,31.738000000000003,26.367,51.758,37.598,0.0,0
1581971397.2429998,39.062,24.414,49.316,32.715,0.0,0
1581971397.2470002,30.762,32.227,39.551,31.25,0.0,0
1581971397.2510002,20.02,45.898,37.598,25.879,0.0,0
