timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1556120699.024,114.746,38.086,212.402,79.102,41.992,0
1556120699.028,61.523,23.926,172.852,71.777,22.949,0
1556120699.032,-37.109,11.719,86.426,70.801,-15.137,0
1556120699.036,-7.812,15.137,127.441,79.102,31.738,0
1556120699.040,108.398,27.344,202.148,77.637,57.617,0
1556120699.044,113.770,3.906,112.305,87.891,32.227,0
1556120699.048,7.812,-23.438,-95.215,91.797,-6.836,0
1556120699.051,-12.207,17.578,-15.625,89.355,5.859,0
1556120699.055,99.121,17.090,-4.395,80.566,54.688,0
1556120699.059,132.324,20.996,-49.316,70.312,65.918,0
1556120699.063,21.973,47.363,156.250,71.777,40.527,0
1556120699.067,-35.156,7.324,101.074,76.660,57.617,0
1556120699.069,56.641,12.207,65.918,61.035,63.477,0
1556120699.073,134.766,33.691,160.645,60.547,14.160,0
1556120699.077,59.570,23.926,166.992,56.641,17.578,0
1556120699.081,-41.992,-28.320,-40.527,40.039,32.715,0
1556120699.085,16.602,-39.551,-209.473,28.320,2.441,0
1556120699.089,120.605,15.625,-105.957,30.273,28.809,0
1556120699.093,79.590,10.742,-105.957,24.902,40.039,0
1556120699.096,-26.367,-42.969,-361.816,16.113,-9.277,0
1556120699.100,-10.254,-69.336,-639.648,10.742,-32.227,0
1556120699.104,91.797,16.113,-361.328,-4.883,0.000,0
1556120699.108,102.539,62.500,-67.383,-2.930,7.324,0
1556120699.112,3.418,3.418,-293.945,0.977,6.348,0
1556120699.114,-24.902,-34.180,-470.215,-12.695,0.977,0
1556120699.118,74.219,3.906,-344.238,-20.020,-17.578,0
1556120699.122,118.164,3.906,-301.270,-32.227,33.203,0
1556120699.126,19.531,-43.945,-523.438,-53.711,78.613,0
1556120699.130,-55.664,-56.641,-692.383,-68.359,41.504,0
1556120699.134,37.109,-54.199,-799.316,-88.379,-15.137,0
1556120699.138,119.141,-33.691,-905.762,-117.676,15.137,0
1556120699.141,34.668,-114.746,-972.168,-165.527,34.180,0
1556120699.145,-75.684,-153.320,-971.680,-218.750,-3.906,0
1556120699.149,-35.156,-74.707,-970.703,-288.574,3.418,0
1556120699.153,76.172,-83.984,-972.656,-344.238,27.832,0
1556120699.157,38.574,-145.996,-972.656,-393.555,-0.488,0
1556120699.159,-91.309,-192.871,-972.168,-468.750,-9.766,0
1556120699.163,-84.961,-198.242,-972.168,-544.434,-16.113,0
1556120699.167,19.043,-212.891,-972.656,-616.699,-40.039,0
1556120699.171,31.738,-256.348,-972.656,-678.223,-47.363,0
1556120699.175,-79.102,-277.832,-972.168,-715.332,-48.828,0
1556120699.179,-136.719,-294.922,-972.168,-739.746,-41.016,0
1556120699.183,-35.645,-291.016,-972.168,-738.281,-48.340,0
1556120699.186,37.598,-274.902,-972.168,-732.422,-42.480,0
1556120699.190,-37.109,-209.961,-972.168,-712.402,-7.324,0
1556120699.194,-126.953,-176.270,-972.168,-674.805,-3.418,0
