timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1581348048.199,29.785,11.23,32.715,21.484,0.0,0
1581348048.2029998,25.879,3.418,32.715,23.926,0.0,0
1581348048.207,27.832,-3.418,31.25,29.785,0.0,0
1581348048.211,28.809,-4.395,30.762,20.02,0.0,0
1581348048.215,38.574,-1.465,29.785,14.16,0.0,0
1581348048.219,32.227,-2.93,33.691,33.691,0.0,0
1581348048.2229998,41.504,-3.906,35.156,46.387,0.0,0
1581348048.226,46.875,-1.465,35.156,28.32,0.0,0
1581348048.23,41.992,7.812,35.156,30.762,0.0,0
1581348048.234,45.41,10.254,34.18,38.574,0.0,0
1581348048.238,42.969,6.836,33.203,27.344,0.0,0
1581348048.242,50.78100000000001,8.789,28.809,27.344,0.0,0
1581348048.244,42.969,12.207,27.832,29.785,0.0,0
1581348048.248,30.273000000000003,11.23,31.25,17.578,0.0,0
1581348048.252,34.668,9.277,35.156,20.508000000000006,0.0,0
1581348048.256,42.969,13.672,34.668,32.227,0.0,0
1581348048.26,46.387,19.043,38.574,21.484,0.0,0
1581348048.264,36.621,20.02,37.598,20.996,0.0,0
1581348048.268,28.32,17.578,33.203,31.25,0.0,0
1581348048.271,32.715,27.832,31.738000000000003,20.996,0.0,0
1581348048.275,33.203,33.691,31.738000000000003,22.461,0.0,0
1581348048.279,24.902,20.02,33.203,20.02,0.0,0
1581348048.283,12.695,14.648,30.762,11.719,0.0,0
1581348048.2870002,25.879,17.09,31.25,14.648,0.0,0
1581348048.304,32.715,21.973000000000006,32.227,17.09,0.0,0
1581348048.3079998,22.461,18.066,29.785,12.207,0.0,0
1581348048.312,31.25,12.207,29.297,9.277,0.0,0
1581348048.316,32.227,14.648,31.738000000000003,28.32,0.0,0
1581348048.32,37.109,12.695,32.227,26.855,0.0,0
1581348048.324,32.715,6.348,30.762,13.184,0.0,0
1581348048.3279998,28.32,10.254,31.25,18.066,0.0,0
1581348048.331,43.945,20.02,30.273000000000003,26.855,0.0,0
1581348048.335,45.898,20.508000000000006,27.344,30.762,0.0,0
1581348048.339,35.645,16.602,27.832,19.531,0.0,0
1581348048.343,30.762,21.973000000000006,28.809,22.949,0.0,0
1581348048.347,40.039,32.227,26.855,35.645,0.0,0
1581348048.349,43.457,24.414,27.344,37.598,0.0,0
1581348048.353,52.734,20.508000000000006,29.297,42.48,0.0,0
1581348048.357,41.992,23.438,32.227,40.527,0.0,0
1581348048.361,15.625,19.043,31.25,29.297,0.0,0
1581348048.365,17.09,17.09,26.367,21.484,0.0,0
1581348048.369,20.02,16.113,24.902,20.996,0.0,0
1581348048.373,16.113,16.113,28.32,17.09,0.0,0
1581348048.3760002,11.719,22.949,28.809,5.859,0.0,0
1581348048.38,30.762,23.438,29.785,13.184,0.0,0
1581348048.3839998,33.691,18.066,30.273000000000003,19.531,0.0,0
1581348048.3879998,12.695,27.832,28.32,12.695,0.0,0
1581348048.3920002,17.09,31.25,26.855,12.695,0.0,0
1581348048.394,22.461,20.508000000000006,28.809,1.465,0.0,0
1581348048.3979998,27.832,22.461,31.25,2.93,0.0,0
1581348048.4020002,32.715,31.25,31.25,11.719,0.0,0
1581348048.406,23.438,26.855,31.738000000000003,10.254,0.0,0
1581348048.41,13.184,17.09,31.25,17.09,0.0,0
1581348048.414,27.344,20.02,35.156,19.043,0.0,0
1581348048.418,49.805,31.738000000000003,28.32,20.996,0.0,0
1581348048.421,44.434,39.551,25.391,26.367,0.0,0
1581348048.425,15.625,27.832,33.203,20.996,0.0,0
1581348048.429,6.348,16.113,34.18,16.113,0.0,0
1581348048.4329998,19.531,25.391,30.762,7.324,0.0,0
1581348048.437,18.066,24.414,31.25,0.0,0.0,0
1581348048.439,9.277,20.996,32.715,1.465,0.0,0
1581348048.4429998,13.184,25.879,35.156,6.348,0.0,0
1581348048.447,18.066,26.367,35.645,11.23,0.0,0
1581348048.451,31.738000000000003,19.043,33.691,8.301,0.0,0
1581348048.455,30.273000000000003,17.578,34.18,13.672,0.0,0
1581348048.459,25.391,22.949,31.738000000000003,21.973000000000006,0.0,0
1581348048.4629998,34.18,24.902,30.273000000000003,16.602,0.0,0
1581348048.466,23.926,29.297,33.691,12.207,0.0,0
1581348048.47,0.0,24.414,34.18,-0.488,0.0,0
1581348048.474,6.836,28.809,31.738000000000003,1.953,0.0,0
1581348048.478,24.902,32.715,29.785,4.883,0.0,0
1581348048.482,20.996,25.879,31.738000000000003,5.371,0.0,0
1581348048.484,1.953,22.461,33.203,8.301,0.0,0
1581348048.488,-4.395,23.438,29.297,7.324,0.0,0
1581348048.492,20.508000000000006,23.926,29.297,20.508000000000006,0.0,0
1581348048.496,29.785,20.996,30.762,19.531,0.0,0
1581348048.5,24.414,22.461,31.25,14.16,0.0,0
1581348048.504,15.625,25.391,32.227,13.184,0.0,0
1581348048.508,18.555,26.855,32.715,7.812,0.0,0
1581348048.5110002,30.762,23.438,31.738000000000003,9.766,0.0,0
1581348048.515,27.344,25.879,33.203,12.695,0.0,0
1581348048.519,19.043,35.156,32.227,13.184,0.0,0
1581348048.5229998,14.648,37.598,27.344,5.859,0.0,0
1581348048.5270002,22.949,33.691,28.809,6.836,0.0,0
1581348048.529,32.715,31.25,31.738000000000003,13.184,0.0,0
1581348048.533,26.367,36.621,30.273000000000003,8.301,0.0,0
1581348048.5370002,20.508000000000006,36.621,27.344,11.23,0.0,0
1581348048.541,19.531,35.645,28.809,13.672,0.0,0
1581348048.545,25.391,38.086,29.297,11.23,0.0,0
1581348048.549,14.648,33.691,24.902,12.695,0.0,0
1581348048.553,10.254,33.203,24.414,16.113,0.0,0
1581348048.556,17.578,34.18,27.344,19.531,0.0,0
1581348048.56,20.508000000000006,39.062,32.227,24.414,0.0,0
1581348048.564,28.809,38.574,31.738000000000003,18.066,0.0,0
1581348048.5679998,24.902,30.273000000000003,30.762,19.531,0.0,0
