timestamps,TP9,AF7,AF8,TP10,Marker0
1581432725.474,233.398,31.738,2.930,137.695,0
1581432725.478,235.352,26.855,-17.090,207.031,0
1581432725.482,317.871,18.555,-124.512,19.043,0
1581432725.486,272.949,20.020,-113.281,-273.926,0
1581432725.490,133.789,23.926,-210.938,-418.457,0
1581432725.494,95.703,28.809,-345.703,-202.148,0
1581432725.498,181.641,24.902,-530.273,-263.184,0
1581432725.501,224.609,17.578,-573.242,-604.004,0
1581432725.505,120.605,21.973,-309.082,-862.305,0
1581432725.509,22.949,29.785,-365.234,-970.703,0
1581432725.513,83.984,31.738,-417.480,-967.773,0
1581432725.517,152.344,24.414,-316.895,-971.191,0
1581432725.519,66.406,20.996,-208.008,-973.145,0
1581432725.523,-49.316,22.461,-228.516,-972.168,0
1581432725.527,-7.324,28.320,-395.020,-972.168,0
1581432725.531,119.629,28.320,-302.734,-972.168,0
1581432725.535,71.289,25.391,-205.078,-972.168,0
1581432725.539,-70.801,33.203,-425.293,-972.168,0
1581432725.543,-55.176,37.598,-579.590,-972.168,0
1581432725.546,56.641,33.691,-503.906,-972.168,0
1581432725.550,61.523,34.668,-335.449,-972.168,0
1581432725.554,-90.332,31.250,-458.008,-972.168,0
1581432725.558,-130.371,28.320,-716.797,-972.656,0
1581432725.562,18.555,32.715,-475.098,-972.168,0
1581432725.564,86.426,31.738,-304.688,-972.168,0
1581432725.568,-20.020,27.832,-352.539,-972.168,0
1581432725.572,-94.238,27.344,-379.395,-973.633,0
1581432725.576,-11.719,22.949,-276.367,-963.867,0
1581432725.580,70.312,22.949,-160.156,-977.051,0
1581432725.584,-9.766,28.809,-259.277,-933.105,0
1581432725.588,-120.605,27.832,-373.535,-633.789,0
1581432725.591,-82.520,24.414,-214.355,-382.324,0
1581432725.595,24.902,23.926,-73.730,-370.605,0
1581432725.599,-0.977,23.438,-366.699,-503.906,0
1581432725.603,-94.238,18.066,-469.727,-415.039,0
1581432725.607,-57.129,19.531,-119.629,-102.051,0
1581432725.609,64.453,24.414,14.160,-99.121,0
1581432725.613,91.309,22.949,-20.996,-155.273,0
1581432725.617,5.371,25.391,20.508,-53.223,0
1581432725.621,-4.883,30.762,91.309,183.105,0
1581432725.625,89.844,33.691,42.480,316.406,0
1581432725.629,141.602,39.551,-83.496,180.664,0
1581432725.633,79.102,37.109,-121.094,185.059,0
1581432725.636,30.762,23.438,52.246,289.062,0
1581432725.640,95.703,22.461,68.848,287.109,0
1581432725.644,193.359,25.391,-182.617,133.789,0
1581432725.648,176.270,29.785,-41.016,62.988,0
1581432725.652,85.449,29.785,206.055,294.922,0
1581432725.654,124.023,28.809,67.383,337.402,0
1581432725.658,254.395,36.133,-105.469,262.207,0
1581432725.662,273.926,35.645,158.203,279.785,0
1581432725.666,156.738,25.879,278.320,351.562,0
1581432725.670,134.766,23.438,253.906,524.902,0
1581432725.674,246.582,28.320,138.184,253.418,0
1581432725.678,289.551,27.832,-24.902,55.664,0
1581432725.681,187.988,35.156,114.258,396.484,0
1581432725.685,121.582,35.645,43.945,797.363,0
1581432725.689,221.191,22.461,8.301,956.055,0
1581432725.693,316.406,22.949,361.816,916.016,0
1581432725.697,229.492,34.180,399.414,956.543,0
1581432725.699,138.184,38.574,334.961,-991.211,0
1581432725.703,196.289,31.250,351.562,996.094,0
1581432725.707,303.711,29.297,372.559,999.512,0
1581432725.711,249.023,23.438,327.148,999.512,0
1581432725.715,115.723,13.184,155.273,999.512,0
1581432725.719,143.066,25.879,128.906,999.512,0
1581432725.723,262.695,34.668,155.762,999.512,0
1581432725.726,255.859,35.645,76.660,999.512,0
1581432725.730,151.855,29.297,-69.336,999.512,0
1581432725.734,172.852,26.367,89.355,999.512,0
1581432725.738,283.203,32.227,353.027,999.512,0
1581432725.742,315.430,33.691,303.711,999.512,0
1581432725.744,222.656,35.156,271.484,999.512,0
1581432725.748,166.504,31.738,352.051,999.512,0
1581432725.752,258.789,24.902,328.613,999.512,0
1581432725.756,339.355,22.949,201.660,999.512,0
1581432725.760,259.277,30.762,116.699,999.512,0
1581432725.764,158.203,31.250,101.074,999.512,0
1581432725.768,205.566,23.926,-0.488,999.512,0
1581432725.771,293.945,21.973,-213.867,999.512,0
1581432725.775,278.320,24.414,-105.957,999.512,0
1581432725.779,190.430,23.926,242.188,999.512,0
1581432725.783,182.129,22.461,253.418,999.512,0
1581432725.787,273.438,25.879,158.203,999.512,0
1581432725.819,291.504,23.926,186.035,999.512,0
1581432725.823,194.336,23.926,251.953,999.512,0
1581432725.827,126.953,23.926,159.180,999.512,0
1581432725.831,189.453,21.484,79.590,999.512,0
1581432725.835,242.188,19.531,144.531,999.512,0
1581432725.839,139.648,11.230,57.129,999.512,0
1581432725.843,54.688,17.090,-142.090,999.512,0
1581432725.846,122.070,30.273,-289.062,999.512,0
1581432725.850,222.168,36.621,-44.434,999.512,0
1581432725.854,165.039,37.598,55.176,999.512,0
1581432725.858,73.730,32.715,-131.348,999.512,0
1581432725.862,125.488,29.785,-59.082,999.512,0
1581432725.834,226.074,20.996,65.918,999.512,0
1581432725.838,200.684,17.090,100.098,999.512,0
1581432725.842,93.262,27.832,-44.922,999.512,0
1581432725.846,99.609,36.133,-98.633,999.512,0
1581432725.850,201.172,30.762,-1.465,999.512,0
1581432725.854,200.684,23.438,-184.570,999.512,0
1581432725.858,97.168,23.926,-294.922,999.512,0
1581432725.861,60.547,28.809,-215.332,999.512,0
1581432725.865,144.531,32.715,-128.906,999.512,0
1581432725.869,193.359,28.320,-102.539,999.512,0
1581432725.873,106.445,15.137,-212.402,999.512,0
1581432725.877,37.109,20.508,-153.320,999.512,0
1581432725.894,84.961,35.645,-107.422,999.512,0
1581432725.898,135.742,32.227,-196.777,999.512,0
1581432725.902,48.828,20.020,-382.812,999.512,0
1581432725.906,-41.992,16.602,-326.660,999.512,0
1581432725.910,-3.906,21.484,-91.309,999.512,0
1581432725.914,58.594,28.320,-292.969,999.512,0
1581432725.918,20.020,35.156,-451.172,999.512,0
1581432725.921,-67.383,35.645,-265.625,999.512,0
1581432725.925,-77.148,33.203,-145.508,999.512,0
1581432725.929,-12.207,33.691,-357.910,999.512,0
1581432725.933,2.441,29.297,-503.906,999.512,0
1581432725.937,-83.008,24.414,-255.371,999.512,0
1581432725.939,-133.301,27.832,-217.773,999.512,0
1581432725.943,-60.547,29.297,-343.262,999.512,0
1581432725.947,-13.672,25.879,-375.488,999.512,0
1581432725.951,-93.750,20.508,-362.305,999.512,0
1581432725.955,-168.457,10.254,-410.156,999.512,0
1581432725.959,-134.766,11.230,-510.254,999.512,0
1581432725.963,-62.500,28.320,-582.520,999.512,0
1581432725.966,-77.148,34.668,-471.191,999.512,0
1581432725.970,-160.156,34.180,-285.645,999.512,0
1581432725.974,-159.180,37.109,-540.039,999.512,0
1581432725.978,-43.945,33.203,-630.371,999.512,0
1581432725.982,-26.367,30.273,-336.914,999.512,0
1581432725.984,-115.234,36.133,-374.512,999.512,0
1581432725.988,-115.234,23.438,-412.109,999.512,0
1581432725.992,-9.766,15.137,-298.340,999.512,0
1581432725.996,45.410,32.227,-206.543,999.512,0
1581432726.000,-45.410,35.645,-283.203,999.512,0
1581432726.004,-92.773,27.832,-421.875,999.512,0
1581432726.008,-6.348,24.414,-487.793,999.512,0
1581432726.011,63.477,25.879,-480.469,999.512,0
1581432726.015,-1.953,23.926,-493.652,999.512,0
1581432726.019,-67.383,26.367,-607.422,999.512,0
1581432726.023,0.000,28.320,-370.117,999.512,0
1581432726.027,78.613,22.949,-123.047,999.512,0
1581432726.029,40.527,31.250,-219.727,999.512,0
1581432726.033,-32.715,34.668,-254.395,999.023,0
1581432726.037,3.418,29.785,-148.438,-1000.000,0
1581432726.041,80.078,33.691,-168.945,997.070,0
1581432726.045,72.754,31.250,-223.145,994.629,0
1581432726.049,-6.836,28.320,-345.703,999.512,0
1581432726.053,-20.996,28.320,-421.387,999.512,0
1581432726.056,88.379,26.367,-275.879,999.023,0
1581432726.060,105.957,27.344,-449.219,999.512,0
1581432726.064,17.578,35.645,-597.656,999.512,0
1581432726.068,12.695,31.250,-276.855,999.512,0
1581432726.072,77.148,23.438,-170.898,999.512,0
1581432726.074,129.395,25.879,-232.422,999.512,0
1581432726.078,78.613,27.344,-269.043,999.512,0
1581432726.082,22.949,35.156,-201.660,999.512,0
1581432726.086,65.430,37.109,-192.871,999.512,0
1581432726.090,142.090,34.668,-225.586,999.512,0
1581432726.094,114.746,29.785,-305.664,999.512,0
1581432726.098,41.992,24.902,-332.520,999.512,0
1581432726.101,57.129,27.832,-297.363,999.512,0
1581432726.105,126.953,25.391,-509.277,999.512,0
1581432726.109,150.391,30.273,-340.332,999.512,0
1581432726.113,76.172,32.227,-136.719,999.512,0
1581432726.117,41.504,25.879,-207.520,999.512,0
1581432726.149,110.840,33.691,-317.871,999.512,0
1581432726.153,159.180,36.133,-273.926,999.512,0
1581432726.157,100.098,28.809,-173.828,999.512,0
1581432726.161,40.039,27.832,-196.289,999.512,0
1581432726.165,94.238,29.297,-223.633,999.512,0
1581432726.169,157.715,29.785,-336.426,999.512,0
1581432726.173,110.840,32.715,-436.523,999.512,0
1581432726.176,45.898,31.250,-639.648,999.023,0
1581432726.180,85.449,28.809,-620.117,-1000.000,0
1581432726.184,163.086,28.809,-304.688,997.070,0
1581432726.188,123.047,28.320,-281.250,996.582,0
1581432726.192,14.648,30.762,-326.172,-1000.000,0
1581432726.164,1.953,29.297,-306.641,998.535,0
1581432726.168,71.289,20.996,-201.172,-998.535,0
1581432726.172,51.270,19.043,-337.891,992.188,0
1581432726.176,-39.062,30.273,-504.883,989.746,0
1581432726.180,-56.641,36.621,-323.242,-999.023,0
1581432726.184,-3.418,33.691,-348.145,997.559,0
1581432726.188,12.207,27.344,-569.336,-996.094,0
1581432726.191,-46.875,21.484,-569.336,984.863,0
1581432726.195,-81.543,23.438,-387.695,967.773,0
1581432726.199,-40.527,20.996,-307.129,-975.586,0
1581432726.203,-2.930,16.113,-453.125,905.762,0
1581432726.207,-24.414,24.414,-526.367,759.277,0
1581432726.224,-81.543,21.973,-402.344,863.770,0
1581432726.228,-83.984,20.508,-325.684,817.383,0
1581432726.232,-49.805,35.156,-634.277,395.996,0
1581432726.236,-71.777,36.133,-895.996,-6.348,0
1581432726.240,-125.977,35.156,-624.512,150.879,0
1581432726.244,-147.461,34.180,-574.707,301.270,0
1581432726.248,-107.422,28.320,-805.664,-71.777,0
